127.0.0.1 - - [04/Jun/2018:10:48:52 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [04/Jun/2018:10:48:53 +0900] "GET /HelloServlet/ HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [04/Jun/2018:10:48:56 +0900] "GET /HelloServlet/MySQLServlet HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [04/Jun/2018:10:51:29 +0900] "GET /HelloServlet/ HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [04/Jun/2018:10:51:39 +0900] "GET /HelloServlet/TestServlet?username=%E3%81%82%E3%81%82%E3%81%82&password=123 HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [04/Jun/2018:10:51:52 +0900] "GET /HelloServlet/TestServlet?username=aaa&password=123 HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [04/Jun/2018:10:52:07 +0900] "POST /HelloServlet/TestServlet HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [04/Jun/2018:10:52:13 +0900] "GET /HelloServlet/MySQLServlet HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [04/Jun/2018:10:52:22 +0900] "GET /HelloServlet/ HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [04/Jun/2018:11:47:18 +0900] "GET /HelloJSP/ HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [04/Jun/2018:11:47:23 +0900] "GET /HelloServlet/ HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [04/Jun/2018:11:47:26 +0900] "GET /HelloServlet/inquiry.jsp HTTP/1.1" 200 661
0:0:0:0:0:0:0:1 - - [04/Jun/2018:11:47:35 +0900] "POST /HelloServlet/InquiryServlet HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [04/Jun/2018:11:47:42 +0900] "GET /HelloServlet/ HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [04/Jun/2018:11:47:43 +0900] "GET /HelloServlet/inquiry.jsp HTTP/1.1" 200 661
0:0:0:0:0:0:0:1 - - [04/Jun/2018:11:47:46 +0900] "GET /HelloServlet/welcome.jsp HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [04/Jun/2018:11:47:53 +0900] "POST /HelloServlet/WelcomeServlet HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [04/Jun/2018:11:48:03 +0900] "GET /HelloServlet/ HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [04/Jun/2018:11:48:05 +0900] "GET /HelloServlet/ HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [04/Jun/2018:11:48:28 +0900] "POST /HelloServlet/TestServlet HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [04/Jun/2018:11:48:38 +0900] "GET /HelloServlet/ HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [04/Jun/2018:11:48:43 +0900] "GET /HelloServlet/TestServlet?username=&password= HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [04/Jun/2018:11:48:54 +0900] "POST /HelloServlet/TestServlet HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [04/Jun/2018:11:49:04 +0900] "GET /HelloJSP/greeting-out.jsp HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [04/Jun/2018:11:49:08 +0900] "GET /HelloServlet/TestServlet?username=aaa&password=123 HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [04/Jun/2018:11:49:19 +0900] "GET /HelloServlet/ HTTP/1.1" 200 822
